,Name,Genre,Length,Score,Country,Year,Budget
0,stand by Me,Adventure,89.0,8.1,USA,1986.0,8.000.000.00
1,ferris Bueller's Day Off,Comedy,103.0,7.8,USA,1986.0,6.000.000.00
2,Top Gun,Action,110.0,6.9,USA,1986.0,15.000.000.00
3,Aliens,Action,137.0,8.4,USA,1986.0,18.500.000.00
4,Flight of the Navigator,Adventure,90.0,6.9,USA,1986.0,9.000.000.00
5,Platoon,Drama,120.0,8.1,UK,1986.0,6.000.000.00
6,Labyrinth,Adventure,101.0,7.4,UK,1986.0,25.000.000.00
7,Blue Velvet,Drama,120.0,7.8,USA,1986.0,6.000.000.00
8,Pretty in Pink,Comedy,96.0,6.8,USA,1986.0,9.000.000.00
9,The Fly,Drama,96.0,7.5,USA,1986.0,15.000.000.00
10,Crocodile Dundee,Adventure,97.0,6.5,Australia,1986.0,8.800.000.00
11,Highlander,Action,116.0,7.2,UK,1986.0,16.000.000.00
12,Lucas,Comedy,100.0,6.8,USA,1986.0,6.000.000.00
13,Big Trouble in Little China,Action,99.0,7.3,USA,1986.0,25.000.000.00
14,Manhunter,Crime,120.0,7.2,USA,1986.0,15.000.000.00
15,9� Weeks,Drama,117.0,5.9,USA,1986.0,17.000.000.00
16,Maximum Overdrive,Action,98.0,5.4,USA,1986.0,10.000.000.00
17,Little Shop of Horrors,Comedy,94.0,6.9,USA,1986.0,25.000.000.00
18,The Wraith,Action,93.0,5.9,USA,1986.0,2.700.000.00
19,Howard the Duck,Action,110.0,4.6,USA,1986.0,35.000.000.00
20,Critters,Action,82.0,6.0,USA,1986.0,2.000.000.00
21,Back to School,Comedy,96.0,6.6,USA,1986.0,11.000.000.00
22,The Texas Chainsaw Massacre 2,Comedy,89.0,5.6,USA,1986.0,4.700.000.00
23,Heartbreak Ridge,Action,130.0,6.8,USA,1986.0,15.000.000.00
24,Star Trek IV: The Voyage Home,Adventure,119.0,7.3,USA,1986.0,25.000.000.00
25,Short Circuit,Comedy,98.0,6.6,USA,1986.0,0.00
26,The Name of the Rose,Crime,130.0,7.8,Italy,1986.0,0.00
27,Iron Eagle,Action,117.0,5.3,USA,1986.0,0.00
28,The Golden Child,Action,94.0,5.9,USA,1986.0,25.000.000.00
29,River's Edge,Crime,99.0,7.1,USA,1986.0,1.900.000.00
30,�Three Amigos!,Comedy,104.0,6.4,USA,1986.0,25.000.000.00
31,Cobra,Action,87.0,5.7,USA,1986.0,25.000.000.00
32,Betty Blue,Drama,120.0,7.4,France,1986.0,0.00
33,The Mission,Adventure,125.0,7.5,UK,1986.0,24.500.000.00
34,The Color of Money,Drama,119.0,7.0,USA,1986.0,13.800.000.00
35,The Karate Kid Part II,Action,113.0,5.9,USA,1986.0,0.00
36,The Boy Who Could Fly,Drama,114.0,6.5,USA,1986.0,0.00
37,The Hitcher,Thriller,97.0,7.3,USA,1986.0,6.000.000.00
38,The Money Pit,Comedy,91.0,6.3,USA,1986.0,10.000.000.00
39,Jason Lives: Friday the 13th Part VI,Horror,86.0,5.9,USA,1986.0,3.000.000.00
40,The Mosquito Coast,Adventure,117.0,6.6,USA,1986.0,25.000.000.00
41,An American Tail,Animation,80.0,6.9,USA,1986.0,0.00
42,Sid and Nancy,Biography,112.0,7.1,UK,1986.0,4.000.000.00
43,King Kong Lives,Action,105.0,3.8,USA,1986.0,10.000.000.00
44,From Beyond,Horror,86.0,6.7,USA,1986.0,4.500.000.00
45,Peggy Sue Got Married,Comedy,103.0,6.3,USA,1986.0,18.000.000.00
46,Poltergeist II: The Other Side,Horror,91.0,5.7,USA,1986.0,19.000.000.00
47,Troll,Comedy,82.0,4.3,USA,1986.0,1.100.000.00
