name,genre,length,score,country,year,budget
Stand By Me,ADVENTURE,89.0,8.1,USA,1986,8000000
Ferris Bueller's Day Off,COMEDY,103.0,7.8,USA,1986,6000000
Top Gun,Unknown,110.0,6.9,USA,1986,15000000
Aliens,ACTION,137.0,8.4,Unknown,1986,18500000
Flight Of The Navigator,ADVENTURE,90.0,6.0,USA,1986,9000000
Platoon,DRAMA,120.0,8.1,UK,1986,6000000
Labyrinth,ADVENTURE,101.0,7.4,UK,1986,25000000
Blue Velvet,DRAMA,120.0,6.0,USA,1986,6000000
Pretty In Pink,COMEDY,103.0,6.8,USA,1986,9000000
The Fly,DRAMA,96.0,7.5,USA,1986,15000000
Crocodile Dundee,ADVENTURE,97.0,6.5,AUSTRALIA,1986,8800000
Highlander,ACTION,116.0,7.2,UK,1986,16000000
Lucas,Unknown,100.0,6.8,USA,1986,6000000
Big Trouble In Little China,ACTION,103.0,7.3,USA,1986,25000000
Manhunter,CRIME,120.0,7.2,USA,1986,15000000
9� Weeks,DRAMA,117.0,5.9,USA,1986,17000000
Maximum Overdrive,ACTION,98.0,5.4,USA,1986,10000000
Little Shop Of Horrors,COMEDY,94.0,6.9,USA,1986,25000000
The Wraith,ACTION,93.0,5.9,USA,1986,2700000
Howard The Duck,ACTION,110.0,4.6,USA,1986,35000000
Critters,ACTION,82.0,6.0,USA,1986,2000000
Back To School,COMEDY,96.0,6.6,USA,1986,11000000
The Texas Chainsaw Massacre 2,COMEDY,89.0,5.6,USA,1986,4700000
Heartbreak Ridge,ACTION,130.0,6.8,USA,1986,15000000
Star Trek Iv: The Voyage Home,ADVENTURE,119.0,6.0,USA,1986,25000000
Short Circuit,COMEDY,98.0,6.6,USA,1986,0
The Name Of The Rose,Unknown,130.0,7.8,ITALY,1986,0
Iron Eagle,ACTION,117.0,5.3,Unknown,1986,0
The Golden Child,ACTION,94.0,5.9,USA,1986,25000000
River's Edge,CRIME,99.0,7.1,USA,1986,1900000
�three Amigos!,COMEDY,104.0,6.4,USA,1986,25000000
Cobra,ACTION,87.0,5.7,USA,1986,25000000
Betty Blue,DRAMA,120.0,7.4,FRANCE,1986,0
The Mission,ADVENTURE,125.0,7.5,UK,1986,24500000
The Color Of Money,DRAMA,119.0,7.0,USA,1986,13800000
The Karate Kid Part Ii,ACTION,113.0,5.9,USA,1986,0
The Boy Who Could Fly,DRAMA,114.0,6.5,USA,1986,0
The Hitcher,THRILLER,97.0,7.3,USA,1986,6000000
The Money Pit,COMEDY,91.0,6.3,USA,1986,10000000
Jason Lives: Friday The 13th Part Vi,HORROR,86.0,5.9,USA,1986,3000000
The Mosquito Coast,ADVENTURE,117.0,6.6,USA,1986,25000000
An American Tail,ANIMATION,80.0,6.9,USA,1986,0
Sid And Nancy,BIOGRAPHY,112.0,7.1,UK,1986,4000000
King Kong Lives,ACTION,105.0,3.8,USA,1986,10000000
From Beyond,HORROR,86.0,6.7,USA,1986,4500000
Peggy Sue Got Married,COMEDY,103.0,6.3,USA,1986,18000000
Poltergeist Ii: The Other Side,HORROR,91.0,5.7,USA,1986,19000000
Troll,COMEDY,82.0,4.3,USA,1986,1100000
Running Scared,ACTION,107.0,6.5,USA,1986,0
Wildcats,COMEDY,106.0,5.9,USA,1986,0
Henry: Portrait Of A Serial Killer,BIOGRAPHY,83.0,7.0,USA,1986,111000
Spacecamp,ADVENTURE,107.0,5.6,USA,1986,18000000
Hannah And Her Sisters,COMEDY,107.0,8.0,USA,1986,6400000
The Great Mouse Detective,ANIMATION,74.0,7.2,USA,1986,14000000
Raw Deal,ACTION,106.0,5.5,USA,1986,8500000
The Transformers: The Movie,ANIMATION,84.0,7.3,Unknown,1986,6000000
Rad,DRAMA,91.0,7.2,USA,1986,0
Night Of The Creeps,COMEDY,88.0,6.8,USA,1986,5000000
Invaders From Mars,HORROR,100.0,5.5,USA,1986,12000000
Crossroads,DRAMA,99.0,7.1,USA,1986,0
Hoosiers,DRAMA,114.0,7.6,UK,1986,6000000
Sacrifice,DRAMA,149.0,8.1,SWEDEN,1986,0
At Close Range,CRIME,111.0,7.0,USA,1986,6500000
Youngblood,DRAMA,110.0,6.1,USA,1986,0
Psicosis Iii,HORROR,93.0,5.3,USA,1986,0
Heartburn,COMEDY,108.0,6.0,USA,1986,20000000
The Clan Of The Cave Bear,ADVENTURE,98.0,5.3,USA,1986,15000000
The Delta Force,ACTION,125.0,5.6,USA,1986,12000000
